url,Speical_Char,Have_IP,Have_At,URL_length,URL_Depth,redirection,time_get_redirect,port_in_url,use_http,http_in_domain,TinyURL,Prefix/Suffix,DNS_Record,trusted_ca,domain_lifespan,domain_timeleft,same_asn,iFrame,Mouse_Over,Right_Click,eval,unescape,escape,ActiveXObject,fromCharCode,atob,Punny_Code,TLDs,Title,country_name,label
https://xn--80a5adah.xn--p1ai,2,0,0,0,0,6,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,xn--p1ai,Уральское региональное самостоятельное спортивное агентство,,0
http://clouddoc-authorize.firebaseapp.com/...xxx........./x,15,0,0,1,2,5,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,com,Sign in to your account,None,1
https://piccolinomarkt.de,2,0,0,0,0,6,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,de,Piccolino Seconhand-Markt für Kinder in Bremen &amp; Oldenburg,,0
https://clouddoc-authorize.firebaseapp.com/xxxx,3,0,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,com,Sign in to your account,None,1
https://cashani.com,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,com,Easy Payday Loans Online| Cash Advances,NL,0
https://certificaonlinegruppointesa.com/index.php/false/false/pyin.html,4,0,0,1,4,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,com,Account Suspended,United States,1
https://crimea.ru,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,ru,No Title,,0
http://m.9288365.com/static/css,3,0,0,0,2,5,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,com,,,1
https://christian-dating-match.com,2,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,com,dating,US,0
http://neosdreamliner.com/wp-content/themes/sketch/images/koman/cmb/1b84a,2,0,0,1,7,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,com,No Title,,1
http://smithdiscountbooks.com/administrator/components/com_user/log-in/243a4c71df02345bb487dde0e17bf3aa/account/carte/file/index.php,3,0,0,1,9,5,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,com,smithdiscountbooks.com,US,1
https://women158.com,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,com,Mail Order Brides - Women158.com,IS,0
https://rosesbrides.com,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,com,Mail Order Bride: Find A Perfect Woman To Marry On RosesBrides,IS,0
